

[01-09-2015:8:59:11 PM] : B2KQA14 has logged in to IDSIL / PJO using the System 115.244.230.82
[01-09-2015:9:02:34 PM] : B2KQA14 has uploaded a file 93626762 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:02:34 PM] : B2KQA14 has uploaded a file 93626452 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:01 PM] : B2KQA14 has uploaded a file 93491098 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:19 PM] : B2KQA14 has uploaded a file 93693418 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:20 PM] : B2KQA14 has uploaded a file 93625181 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:20 PM] : B2KQA14 has uploaded a file 93627018 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:21 PM] : B2KQA14 has uploaded a file 93643878 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:22 PM] : B2KQA14 has uploaded a file 93643533 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:22 PM] : B2KQA14 has uploaded a file 93623044 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:22 PM] : B2KQA14 has uploaded a file 93626752 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:23 PM] : B2KQA14 has uploaded a file 93626442 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:23 PM] : B2KQA14 has uploaded a file 93626432 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:25 PM] : B2KQA14 has uploaded a file 93626417 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:44 PM] : B2KQA14 has uploaded a file 93693059 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:45 PM] : B2KQA14 has uploaded a file 93692555 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:45 PM] : B2KQA14 has uploaded a file 93693917 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:47 PM] : B2KQA14 has uploaded a file 93692779 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:47 PM] : B2KQA14 has uploaded a file 93692248 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:48 PM] : B2KQA14 has uploaded a file 93692246 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:48 PM] : B2KQA14 has uploaded a file 93691187 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:48 PM] : B2KQA14 has uploaded a file 93687101 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:03:50 PM] : B2KQA14 has uploaded a file 93693660 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:21 PM] : B2KQA14 has uploaded a file 93712201 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:21 PM] : B2KQA14 has uploaded a file 93705660 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:22 PM] : B2KQA14 has uploaded a file 93712116 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:23 PM] : B2KQA14 has uploaded a file 93661821 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:25 PM] : B2KQA14 has uploaded a file 93693406 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:25 PM] : B2KQA14 has uploaded a file 93692556 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:26 PM] : B2KQA14 has uploaded a file 93692238 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:27 PM] : B2KQA14 has uploaded a file 93692778 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:44 PM] : B2KQA14 has uploaded a file 93711327 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:45 PM] : B2KQA14 has uploaded a file 93711147 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:46 PM] : B2KQA14 has uploaded a file 93710742 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:46 PM] : B2KQA14 has uploaded a file 93710714 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:46 PM] : B2KQA14 has uploaded a file 93710704 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:48 PM] : B2KQA14 has uploaded a file 93713056 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:49 PM] : B2KQA14 has uploaded a file 93672190 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:04:50 PM] : B2KQA14 has uploaded a file 93671344 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:10 PM] : B2KQA14 has uploaded a file 93713043 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:10 PM] : B2KQA14 has uploaded a file 93713041 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:11 PM] : B2KQA14 has uploaded a file 93712110 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:12 PM] : B2KQA14 has uploaded a file 93712085 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:12 PM] : B2KQA14 has uploaded a file 93712081 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:13 PM] : B2KQA14 has uploaded a file 93711602 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:14 PM] : B2KQA14 has uploaded a file 93711467 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:14 PM] : B2KQA14 has uploaded a file 93713042 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:05:14 PM] : B2KQA14 has uploaded a file 93713452 to Hospital/Customer in IDSIL / PJO


[01-09-2015:9:11:37 PM] : B2KQA14 has picked a file 93781077 in IDSIL / PJO


[01-09-2015:9:50:37 PM] : B2KQA14 has picked a file 93781826 in IDSIL / PJO


[01-09-2015:10:14:48 PM] : B2KQA14 has picked a file 93785101 in IDSIL / PJO


[01-09-2015:10:15:23 PM] : B2KQA14 has uploaded a file 93731049 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:23 PM] : B2KQA14 has uploaded a file 93733169 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:24 PM] : B2KQA14 has uploaded a file 93731010 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:25 PM] : B2KQA14 has uploaded a file 93726666 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:26 PM] : B2KQA14 has uploaded a file 93713835 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:26 PM] : B2KQA14 has uploaded a file 93712462 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:28 PM] : B2KQA14 has uploaded a file 93713615 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:28 PM] : B2KQA14 has uploaded a file 93712179 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:46 PM] : B2KQA14 has uploaded a file 93732951 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:47 PM] : B2KQA14 has uploaded a file 93731051 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:48 PM] : B2KQA14 has uploaded a file 93731035 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:49 PM] : B2KQA14 has uploaded a file 93731009 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:49 PM] : B2KQA14 has uploaded a file 93732976 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:50 PM] : B2KQA14 has uploaded a file 93732978 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:50 PM] : B2KQA14 has uploaded a file 93721025 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:15:52 PM] : B2KQA14 has uploaded a file 93714057 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:09 PM] : B2KQA14 has uploaded a file 93753895 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:10 PM] : B2KQA14 has uploaded a file 93753892 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:27 PM] : B2KQA14 has uploaded a file 93755332 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:28 PM] : B2KQA14 has uploaded a file 93754544 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:28 PM] : B2KQA14 has uploaded a file 93751730 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:29 PM] : B2KQA14 has uploaded a file 93733795 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:30 PM] : B2KQA14 has uploaded a file 93732931 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:30 PM] : B2KQA14 has uploaded a file 93732925 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:31 PM] : B2KQA14 has uploaded a file 93732924 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:32 PM] : B2KQA14 has uploaded a file 93731685 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:40 PM] : B2KQA14 has uploaded a file 93785101 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:42 PM] : B2KQA14 has uploaded a file 93781077 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:42 PM] : B2KQA14 has uploaded a file 93751085 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:43 PM] : B2KQA14 has uploaded a file 93733794 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:16:50 PM] : B2KQA14 has uploaded a file 93781826 to Hospital/Customer in IDSIL / PJO


[01-09-2015:10:28:13 PM] : B2KQA14 has picked a file 93778029 in IDSIL / PJO


[01-09-2015:10:56:06 PM] : B2KQA14 has picked a file 93784879 in IDSIL / PJO


[01-09-2015:11:28:00 PM] : B2KQA14 has uploaded a file 93778029 to Hospital/Customer in IDSIL / PJO


[01-09-2015:11:28:12 PM] : B2KQA14 has picked a file 93785074 in IDSIL / PJO


[01-09-2015:11:28:19 PM] : B2KQA14 has uploaded a file 93784879 to Hospital/Customer in IDSIL / PJO


[01-09-2015:11:35:05 PM] : B2KQA14 has picked a file 93785186 in IDSIL / PJO


[02-09-2015:12:01:57 AM] : B2KQA14 has picked a file 93785160 in IDSIL / PJO


[02-09-2015:12:27:24 AM] : B2KQA14 has picked a file 93785831 in IDSIL / PJO


[02-09-2015:1:26:15 AM] : B2KQA14 has picked a file 93781472 in IDSIL / PJO


[02-09-2015:1:41:42 AM] : B2KQA14 has picked a file 93790658 in IDSIL / PJO


[02-09-2015:2:43:58 AM] : B2KQA14 has picked a file 93786888 in IDSIL / PJO


[02-09-2015:2:50:41 AM] : B2KQA14 has uploaded a file 93790658 to Hospital/Customer in IDSIL / PJO


[02-09-2015:2:50:56 AM] : B2KQA14 has uploaded a file 93786888 to Hospital/Customer in IDSIL / PJO


[02-09-2015:2:50:56 AM] : B2KQA14 has uploaded a file 93785831 to Hospital/Customer in IDSIL / PJO


[02-09-2015:2:50:58 AM] : B2KQA14 has uploaded a file 93785074 to Hospital/Customer in IDSIL / PJO


[02-09-2015:2:50:59 AM] : B2KQA14 has uploaded a file 93785160 to Hospital/Customer in IDSIL / PJO


[02-09-2015:2:50:59 AM] : B2KQA14 has uploaded a file 93781472 to Hospital/Customer in IDSIL / PJO


[02-09-2015:2:51:25 AM] : B2KQA14 has picked a file 93786914 in IDSIL / PJO


[02-09-2015:3:04:51 AM] : B2KQA14 has picked a file 93786143 in IDSIL / PJO


[02-09-2015:3:31:23 AM] : B2KQA14 has picked a file 93789406 in IDSIL / PJO


[02-09-2015:3:39:38 AM] : B2KQA14 has picked a file 93782501 in IDSIL / PJO
