

[10-08-2015:3:33:13 AM] : B2KQA57 has logged in to IDSIL / PJO using the System 101.222.233.10
[10-08-2015:6:10:06 AM] : B2KQA57 has uploaded a file 93232181 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:13 AM] : B2KQA57 has uploaded a file 93232867 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:17 AM] : B2KQA57 has uploaded a file 93232990 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:23 AM] : B2KQA57 has uploaded a file 93234154 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:29 AM] : B2KQA57 has uploaded a file 93233496 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:35 AM] : B2KQA57 has uploaded a file 93232550 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:40 AM] : B2KQA57 has uploaded a file 93233104 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:46 AM] : B2KQA57 has uploaded a file 93238650 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:52 AM] : B2KQA57 has uploaded a file 93238658 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:59 AM] : B2KQA57 has uploaded a file 93238670 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:04 AM] : B2KQA57 has uploaded a file 93238659 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:11 AM] : B2KQA57 has uploaded a file 93238693 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:16 AM] : B2KQA57 has uploaded a file 93238683 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:23 AM] : B2KQA57 has uploaded a file 93238678 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:28 AM] : B2KQA57 has uploaded a file 93238684 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:37 AM] : B2KQA57 has uploaded a file 93238665 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:42 AM] : B2KQA57 has uploaded a file 93239327 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:50 AM] : B2KQA57 has uploaded a file 93238730 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:11:55 AM] : B2KQA57 has uploaded a file 93239331 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:01 AM] : B2KQA57 has uploaded a file 93239337 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:06 AM] : B2KQA57 has uploaded a file 93239343 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:12 AM] : B2KQA57 has uploaded a file 93239352 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:18 AM] : B2KQA57 has uploaded a file 93239358 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:24 AM] : B2KQA57 has uploaded a file 93239394 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:29 AM] : B2KQA57 has uploaded a file 93239399 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:35 AM] : B2KQA57 has uploaded a file 93239385 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:40 AM] : B2KQA57 has uploaded a file 93239407 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:46 AM] : B2KQA57 has uploaded a file 93239374 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:51 AM] : B2KQA57 has uploaded a file 93239369 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:12:57 AM] : B2KQA57 has uploaded a file 93239392 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:01 AM] : B2KQA57 has uploaded a file 93240689 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:07 AM] : B2KQA57 has uploaded a file 93240974 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:12 AM] : B2KQA57 has uploaded a file 93241210 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:18 AM] : B2KQA57 has uploaded a file 93241610 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:23 AM] : B2KQA57 has uploaded a file 93241769 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:30 AM] : B2KQA57 has uploaded a file 93242147 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:34 AM] : B2KQA57 has uploaded a file 93239007 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:39 AM] : B2KQA57 has uploaded a file 93239031 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:45 AM] : B2KQA57 has uploaded a file 93239040 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:50 AM] : B2KQA57 has uploaded a file 93239112 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:13:56 AM] : B2KQA57 has uploaded a file 93239070 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:01 AM] : B2KQA57 has uploaded a file 93239145 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:06 AM] : B2KQA57 has uploaded a file 93239091 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:12 AM] : B2KQA57 has uploaded a file 93238981 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:18 AM] : B2KQA57 has uploaded a file 93252532 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:23 AM] : B2KQA57 has uploaded a file 93239268 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:29 AM] : B2KQA57 has uploaded a file 93239279 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:33 AM] : B2KQA57 has uploaded a file 93253726 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:37 AM] : B2KQA57 has uploaded a file 93249148 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:53 AM] : B2KQA57 has uploaded a file 93239313 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:14:59 AM] : B2KQA57 has uploaded a file 93239340 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:06 AM] : B2KQA57 has uploaded a file 93268529 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:30 AM] : B2KQA57 has uploaded a file 93253658 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:35 AM] : B2KQA57 has uploaded a file 93253398 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:41 AM] : B2KQA57 has uploaded a file 93254492 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:46 AM] : B2KQA57 has uploaded a file 93256975 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:52 AM] : B2KQA57 has uploaded a file 93269800 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:15:57 AM] : B2KQA57 has uploaded a file 93255317 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:04 AM] : B2KQA57 has uploaded a file 93243450 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:09 AM] : B2KQA57 has uploaded a file 93269495 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:16 AM] : B2KQA57 has uploaded a file 93253179 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:21 AM] : B2KQA57 has uploaded a file 93267273 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:29 AM] : B2KQA57 has uploaded a file 93267248 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:34 AM] : B2KQA57 has uploaded a file 93267294 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:41 AM] : B2KQA57 has uploaded a file 93267445 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:46 AM] : B2KQA57 has uploaded a file 93274136 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:52 AM] : B2KQA57 has uploaded a file 93269331 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:58 AM] : B2KQA57 has uploaded a file 93269350 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:04 AM] : B2KQA57 has uploaded a file 93269357 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:10 AM] : B2KQA57 has uploaded a file 93275709 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:17 AM] : B2KQA57 has uploaded a file 93269385 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:22 AM] : B2KQA57 has uploaded a file 93269342 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:28 AM] : B2KQA57 has uploaded a file 93269414 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:33 AM] : B2KQA57 has uploaded a file 93275783 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:41 AM] : B2KQA57 has uploaded a file 93275381 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:46 AM] : B2KQA57 has uploaded a file 93275256 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:53 AM] : B2KQA57 has uploaded a file 93283828 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:17:59 AM] : B2KQA57 has uploaded a file 93285124 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:05 AM] : B2KQA57 has uploaded a file 93290702 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:10 AM] : B2KQA57 has uploaded a file 93284632 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:17 AM] : B2KQA57 has uploaded a file 93293619 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:22 AM] : B2KQA57 has uploaded a file 93286666 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:28 AM] : B2KQA57 has uploaded a file 93293635 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:34 AM] : B2KQA57 has uploaded a file 93293752 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:40 AM] : B2KQA57 has uploaded a file 93293867 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:46 AM] : B2KQA57 has uploaded a file 93294431 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:53 AM] : B2KQA57 has uploaded a file 93294068 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:18:58 AM] : B2KQA57 has uploaded a file 93293531 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:05 AM] : B2KQA57 has uploaded a file 93294147 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:10 AM] : B2KQA57 has uploaded a file 93294660 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:17 AM] : B2KQA57 has uploaded a file 93293585 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:22 AM] : B2KQA57 has uploaded a file 93293851 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:28 AM] : B2KQA57 has uploaded a file 93294307 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:33 AM] : B2KQA57 has uploaded a file 93294320 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:39 AM] : B2KQA57 has uploaded a file 93294305 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:44 AM] : B2KQA57 has uploaded a file 93294321 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:52 AM] : B2KQA57 has uploaded a file 93294346 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:19:59 AM] : B2KQA57 has uploaded a file 93294355 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:20:33 AM] : B2KQA57 has uploaded a file 93294387 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:20:39 AM] : B2KQA57 has uploaded a file 93293422 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:20:46 AM] : B2KQA57 has uploaded a file 93293720 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:20:54 AM] : B2KQA57 has uploaded a file 93296860 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:08 AM] : B2KQA57 has uploaded a file 93298036 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:13 AM] : B2KQA57 has uploaded a file 93298424 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:19 AM] : B2KQA57 has uploaded a file 93300346 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:23 AM] : B2KQA57 has uploaded a file 93300366 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:30 AM] : B2KQA57 has uploaded a file 93300545 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:35 AM] : B2KQA57 has uploaded a file 93299270 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:41 AM] : B2KQA57 has uploaded a file 93301592 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:46 AM] : B2KQA57 has uploaded a file 93301735 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:53 AM] : B2KQA57 has uploaded a file 93300613 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:21:58 AM] : B2KQA57 has uploaded a file 93302348 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:04 AM] : B2KQA57 has uploaded a file 93302582 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:10 AM] : B2KQA57 has uploaded a file 93302670 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:16 AM] : B2KQA57 has uploaded a file 93302537 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:21 AM] : B2KQA57 has uploaded a file 93302351 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:27 AM] : B2KQA57 has uploaded a file 93308616 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:32 AM] : B2KQA57 has uploaded a file 93309023 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:39 AM] : B2KQA57 has uploaded a file 93314925 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:44 AM] : B2KQA57 has uploaded a file 93314951 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:49 AM] : B2KQA57 has uploaded a file 93314228 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:22:55 AM] : B2KQA57 has uploaded a file 93315849 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:01 AM] : B2KQA57 has uploaded a file 93315863 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:07 AM] : B2KQA57 has uploaded a file 93319370 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:14 AM] : B2KQA57 has uploaded a file 93321539 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:19 AM] : B2KQA57 has uploaded a file 93315836 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:25 AM] : B2KQA57 has uploaded a file 93315843 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:30 AM] : B2KQA57 has uploaded a file 93315879 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:42 AM] : B2KQA57 has uploaded a file 93315900 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:46 AM] : B2KQA57 has uploaded a file 93321943 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:53 AM] : B2KQA57 has uploaded a file 93315916 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:23:58 AM] : B2KQA57 has uploaded a file 93315870 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:04 AM] : B2KQA57 has uploaded a file 93320582 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:08 AM] : B2KQA57 has uploaded a file 93315993 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:14 AM] : B2KQA57 has uploaded a file 93333558 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:20 AM] : B2KQA57 has uploaded a file 93332587 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:27 AM] : B2KQA57 has uploaded a file 93333462 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:32 AM] : B2KQA57 has uploaded a file 93332986 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:24:38 AM] : B2KQA57 has uploaded a file 93335035 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:26:48 AM] : B2KQA57 has uploaded a file 93337159 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:26:57 AM] : B2KQA57 has uploaded a file 93343150 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:16:52 PM] : B2KQA57 has logged in to IDSIL / PJO using the System 101.222.162.106


[10-08-2015:6:28:01 PM] : B2KQA57 has logged in to IDSIL / PJO using the System 101.222.162.106


[10-08-2015:7:14:03 PM] : B2KQA57 has logged in to IDSIL / PJO using the System 101.222.163.131


[10-08-2015:7:21:28 PM] : B2KQA57 has picked a file 93379479 in IDSIL / PJO


[10-08-2015:7:38:57 PM] : B2KQA57 has picked a file 93379355 in IDSIL / PJO


[10-08-2015:7:41:02 PM] : B2KQA57 has uploaded a file 93344229 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:41:21 PM] : B2KQA57 has uploaded a file 93343921 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:41:30 PM] : B2KQA57 has uploaded a file 93346523 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:41:45 PM] : B2KQA57 has uploaded a file 93346803 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:41:51 PM] : B2KQA57 has uploaded a file 93347329 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:41:58 PM] : B2KQA57 has uploaded a file 93349037 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:04 PM] : B2KQA57 has uploaded a file 93349232 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:12 PM] : B2KQA57 has uploaded a file 93347035 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:18 PM] : B2KQA57 has uploaded a file 93349506 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:26 PM] : B2KQA57 has uploaded a file 93350239 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:32 PM] : B2KQA57 has uploaded a file 93350998 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:40 PM] : B2KQA57 has uploaded a file 93352892 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:46 PM] : B2KQA57 has uploaded a file 93352710 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:53 PM] : B2KQA57 has uploaded a file 93367815 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:42:59 PM] : B2KQA57 has uploaded a file 93367824 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:07 PM] : B2KQA57 has uploaded a file 93346147 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:12 PM] : B2KQA57 has uploaded a file 93367840 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:19 PM] : B2KQA57 has uploaded a file 93367854 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:25 PM] : B2KQA57 has uploaded a file 93367866 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:32 PM] : B2KQA57 has uploaded a file 93367886 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:37 PM] : B2KQA57 has uploaded a file 93367950 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:46 PM] : B2KQA57 has uploaded a file 93367961 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:43:53 PM] : B2KQA57 has uploaded a file 93367973 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:44:02 PM] : B2KQA57 has uploaded a file 93367990 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:44:24 PM] : B2KQA57 has uploaded a file 93367997 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:44:30 PM] : B2KQA57 has uploaded a file 93368010 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:44:37 PM] : B2KQA57 has uploaded a file 93368029 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:44:53 PM] : B2KQA57 has uploaded a file 93368036 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:44:59 PM] : B2KQA57 has uploaded a file 93368062 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:05 PM] : B2KQA57 has uploaded a file 93368082 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:11 PM] : B2KQA57 has uploaded a file 93368093 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:19 PM] : B2KQA57 has uploaded a file 93368122 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:24 PM] : B2KQA57 has uploaded a file 93368155 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:31 PM] : B2KQA57 has uploaded a file 93368203 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:36 PM] : B2KQA57 has uploaded a file 93368192 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:43 PM] : B2KQA57 has uploaded a file 93368200 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:48 PM] : B2KQA57 has uploaded a file 93368234 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:45:55 PM] : B2KQA57 has uploaded a file 93368265 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:46:00 PM] : B2KQA57 has uploaded a file 93368411 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:46:06 PM] : B2KQA57 has uploaded a file 93379355 to Hospital/Customer in IDSIL / PJO


[10-08-2015:7:46:11 PM] : B2KQA57 has uploaded a file 93379479 to Hospital/Customer in IDSIL / PJO


[10-08-2015:8:34:02 PM] : B2KQA57 has picked a file 93380759 in IDSIL / PJO


[10-08-2015:8:54:44 PM] : B2KQA57 has logged in to IDSIL / PJO using the System 101.222.175.27


[11-08-2015:3:45:20 AM] : B2KQA57 has picked a file 93384857 in IDSIL / PJO


[11-08-2015:3:59:26 AM] : B2KQA57 has picked a file 93380666 in IDSIL / PJO


[11-08-2015:4:10:47 AM] : B2KQA57 has picked a file 93384975 in IDSIL / PJO


[11-08-2015:4:27:02 AM] : B2KQA57 has picked a file 93385505 in IDSIL / PJO


[11-08-2015:4:38:14 AM] : B2KQA57 has picked a file 93385170 in IDSIL / PJO


[11-08-2015:4:54:29 AM] : B2KQA57 has picked a file 93386348 in IDSIL / PJO
