

[22-09-2015:6:43:53 PM] : B2KQA14 has logged in to IDSIL / PJO using the System 101.63.239.0
[22-09-2015:6:59:35 PM] : B2KQA14 has uploaded a file 94122335 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:36 PM] : B2KQA14 has uploaded a file 94122303 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:52 PM] : B2KQA14 has uploaded a file 94124775 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:53 PM] : B2KQA14 has uploaded a file 94123737 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:53 PM] : B2KQA14 has uploaded a file 94123562 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:54 PM] : B2KQA14 has uploaded a file 94123267 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:55 PM] : B2KQA14 has uploaded a file 94123616 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:55 PM] : B2KQA14 has uploaded a file 94122522 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:55 PM] : B2KQA14 has uploaded a file 94123367 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:56 PM] : B2KQA14 has uploaded a file 94123029 to Hospital/Customer in IDSIL / PJO


[22-09-2015:6:59:57 PM] : B2KQA14 has uploaded a file 94122934 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:13 PM] : B2KQA14 has uploaded a file 94163413 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:15 PM] : B2KQA14 has uploaded a file 94163608 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:15 PM] : B2KQA14 has uploaded a file 94128731 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:16 PM] : B2KQA14 has uploaded a file 94126924 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:17 PM] : B2KQA14 has uploaded a file 94126875 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:17 PM] : B2KQA14 has uploaded a file 94125184 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:17 PM] : B2KQA14 has uploaded a file 94125356 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:18 PM] : B2KQA14 has uploaded a file 94124838 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:00:18 PM] : B2KQA14 has uploaded a file 94123447 to Hospital/Customer in IDSIL / PJO


[22-09-2015:7:26:22 PM] : B2KQA14 has picked a file 94163639 in IDSIL / PJO


[22-09-2015:7:41:31 PM] : B2KQA14 has picked a file 94163673 in IDSIL / PJO


[22-09-2015:7:46:46 PM] : B2KQA14 has picked a file 94163704 in IDSIL / PJO


[22-09-2015:7:55:54 PM] : B2KQA14 has picked a file 94163745 in IDSIL / PJO


[22-09-2015:8:03:55 PM] : B2KQA14 has picked a file 94163783 in IDSIL / PJO


[22-09-2015:8:11:48 PM] : B2KQA14 has picked a file 94164270 in IDSIL / PJO


[22-09-2015:8:15:07 PM] : B2KQA14 has picked a file 94164460 in IDSIL / PJO


[22-09-2015:8:23:10 PM] : B2KQA14 has picked a file 94164462 in IDSIL / PJO


[22-09-2015:8:31:00 PM] : B2KQA14 has picked a file 94164524 in IDSIL / PJO


[22-09-2015:8:34:35 PM] : B2KQA14 has picked a file 94164546 in IDSIL / PJO


[22-09-2015:9:11:13 PM] : B2KQA14 has picked a file 94165558 in IDSIL / PJO


[22-09-2015:9:27:32 PM] : B2KQA14 has picked a file 94166626 in IDSIL / PJO


[22-09-2015:9:35:20 PM] : B2KQA14 has picked a file 94166724 in IDSIL / PJO


[22-09-2015:9:40:49 PM] : B2KQA14 has picked a file 94167593 in IDSIL / PJO


[22-09-2015:9:48:15 PM] : B2KQA14 has picked a file 94167793 in IDSIL / PJO


[22-09-2015:9:48:37 PM] : B2KQA14 has uploaded a file 94164546 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:37 PM] : B2KQA14 has uploaded a file 94164462 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:38 PM] : B2KQA14 has uploaded a file 94164524 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:38 PM] : B2KQA14 has uploaded a file 94164460 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:39 PM] : B2KQA14 has uploaded a file 94163745 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:39 PM] : B2KQA14 has uploaded a file 94163704 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:40 PM] : B2KQA14 has uploaded a file 94163639 to Hospital/Customer in IDSIL / PJO


[22-09-2015:9:48:41 PM] : B2KQA14 has uploaded a file 94163673 to Hospital/Customer in IDSIL / PJO


[22-09-2015:10:04:36 PM] : B2KQA14 has picked a file 94167967 in IDSIL / PJO


[22-09-2015:10:10:50 PM] : B2KQA14 has picked a file 94167986 in IDSIL / PJO


[22-09-2015:10:23:21 PM] : B2KQA14 has picked a file 94168056 in IDSIL / PJO


[22-09-2015:10:29:22 PM] : B2KQA14 has picked a file 94168121 in IDSIL / PJO


[22-09-2015:10:34:23 PM] : B2KQA14 has picked a file 94168155 in IDSIL / PJO


[22-09-2015:10:43:31 PM] : B2KQA14 has picked a file 94168691 in IDSIL / PJO


[22-09-2015:10:54:28 PM] : B2KQA14 has picked a file 94168813 in IDSIL / PJO


[22-09-2015:11:12:08 PM] : B2KQA14 has picked a file 94169615 in IDSIL / PJO


[22-09-2015:11:20:25 PM] : B2KQA14 has picked a file 94163484 in IDSIL / PJO


[22-09-2015:11:34:28 PM] : B2KQA14 has picked a file 94169738 in IDSIL / PJO


[22-09-2015:11:41:17 PM] : B2KQA14 has picked a file 94169919 in IDSIL / PJO


[22-09-2015:11:46:26 PM] : B2KQA14 has picked a file 94170488 in IDSIL / PJO


[22-09-2015:11:49:44 PM] : B2KQA14 has picked a file 94170452 in IDSIL / PJO


[23-09-2015:12:00:20 AM] : B2KQA14 has picked a file 94171571 in IDSIL / PJO


[23-09-2015:12:16:17 AM] : B2KQA14 has picked a file 94165460 in IDSIL / PJO


[23-09-2015:12:49:21 AM] : B2KQA14 has picked a file 94166438 in IDSIL / PJO


[23-09-2015:1:01:29 AM] : B2KQA14 has picked a file 94167147 in IDSIL / PJO


[23-09-2015:1:05:00 AM] : B2KQA14 has picked a file 94168498 in IDSIL / PJO


[23-09-2015:1:17:51 AM] : B2KQA14 has picked a file 94163435 in IDSIL / PJO


[23-09-2015:1:31:42 AM] : B2KQA14 has picked a file 94160209 in IDSIL / PJO


[23-09-2015:1:45:41 AM] : B2KQA14 has picked a file 94170007 in IDSIL / PJO


[23-09-2015:2:06:29 AM] : B2KQA14 has picked a file 94170656 in IDSIL / PJO


[23-09-2015:2:24:00 AM] : B2KQA14 has picked a file 94172447 in IDSIL / PJO


[23-09-2015:2:34:45 AM] : B2KQA14 has picked a file 94165384 in IDSIL / PJO


[23-09-2015:2:51:46 AM] : B2KQA14 has picked a file 94172837 in IDSIL / PJO


[23-09-2015:3:12:52 AM] : B2KQA14 has uploaded a file 94166626 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:09 AM] : B2KQA14 has uploaded a file 94166438 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:10 AM] : B2KQA14 has uploaded a file 94165460 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:11 AM] : B2KQA14 has uploaded a file 94166724 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:11 AM] : B2KQA14 has uploaded a file 94165558 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:12 AM] : B2KQA14 has uploaded a file 94164270 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:13 AM] : B2KQA14 has uploaded a file 94165384 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:31 AM] : B2KQA14 has uploaded a file 94168121 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:31 AM] : B2KQA14 has uploaded a file 94168056 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:32 AM] : B2KQA14 has uploaded a file 94168155 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:32 AM] : B2KQA14 has uploaded a file 94167967 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:33 AM] : B2KQA14 has uploaded a file 94167593 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:34 AM] : B2KQA14 has uploaded a file 94167986 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:34 AM] : B2KQA14 has uploaded a file 94163435 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:35 AM] : B2KQA14 has uploaded a file 94163783 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:53 AM] : B2KQA14 has uploaded a file 94170007 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:54 AM] : B2KQA14 has uploaded a file 94168498 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:55 AM] : B2KQA14 has uploaded a file 94169738 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:56 AM] : B2KQA14 has uploaded a file 94169919 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:56 AM] : B2KQA14 has uploaded a file 94168813 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:57 AM] : B2KQA14 has uploaded a file 94168691 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:57 AM] : B2KQA14 has uploaded a file 94167793 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:13:58 AM] : B2KQA14 has uploaded a file 94163484 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:15 AM] : B2KQA14 has uploaded a file 94172447 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:16 AM] : B2KQA14 has uploaded a file 94170656 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:16 AM] : B2KQA14 has uploaded a file 94167147 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:17 AM] : B2KQA14 has uploaded a file 94172837 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:17 AM] : B2KQA14 has uploaded a file 94171571 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:18 AM] : B2KQA14 has uploaded a file 94170488 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:19 AM] : B2KQA14 has uploaded a file 94170452 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:20 AM] : B2KQA14 has uploaded a file 94169615 to Hospital/Customer in IDSIL / PJO


[23-09-2015:3:14:20 AM] : B2KQA14 has uploaded a file 94160209 to Hospital/Customer in IDSIL / PJO
