

[19-09-2015:6:05:49 PM] : B2KQA14 has logged in to IDSIL / PJO using the System 115.241.51.247
[19-09-2015:6:12:59 PM] : B2KQA14 has uploaded a file 94069240 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:00 PM] : B2KQA14 has uploaded a file 94069287 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:00 PM] : B2KQA14 has uploaded a file 94069050 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:01 PM] : B2KQA14 has uploaded a file 94069131 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:02 PM] : B2KQA14 has uploaded a file 94068854 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:23 PM] : B2KQA14 has uploaded a file 94074164 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:24 PM] : B2KQA14 has uploaded a file 94072974 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:25 PM] : B2KQA14 has uploaded a file 94074072 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:25 PM] : B2KQA14 has uploaded a file 94073188 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:26 PM] : B2KQA14 has uploaded a file 94073298 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:27 PM] : B2KQA14 has uploaded a file 94071119 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:27 PM] : B2KQA14 has uploaded a file 94072308 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:28 PM] : B2KQA14 has uploaded a file 94071757 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:28 PM] : B2KQA14 has uploaded a file 94070552 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:29 PM] : B2KQA14 has uploaded a file 94070534 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:45 PM] : B2KQA14 has uploaded a file 94091866 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:46 PM] : B2KQA14 has uploaded a file 94092037 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:47 PM] : B2KQA14 has uploaded a file 94091856 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:47 PM] : B2KQA14 has uploaded a file 94079792 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:48 PM] : B2KQA14 has uploaded a file 94078494 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:13:48 PM] : B2KQA14 has uploaded a file 94078894 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:05 PM] : B2KQA14 has uploaded a file 94077076 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:06 PM] : B2KQA14 has uploaded a file 94077332 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:06 PM] : B2KQA14 has uploaded a file 94076791 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:07 PM] : B2KQA14 has uploaded a file 94075664 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:27 PM] : B2KQA14 has uploaded a file 94093041 to IDS/QA_Checkpoint in IDSIL / PJO


[19-09-2015:6:14:27 PM] : B2KQA14 has uploaded a file 94093721 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:28 PM] : B2KQA14 has uploaded a file 94094037 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:29 PM] : B2KQA14 has uploaded a file 94092659 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:29 PM] : B2KQA14 has uploaded a file 94092974 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:30 PM] : B2KQA14 has uploaded a file 94092888 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:30 PM] : B2KQA14 has uploaded a file 94092230 to IDS/QA_Checkpoint in IDSIL / PJO


[19-09-2015:6:14:31 PM] : B2KQA14 has uploaded a file 94092121 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:32 PM] : B2KQA14 has uploaded a file 94092165 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:32 PM] : B2KQA14 has uploaded a file 94092231 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:46 PM] : B2KQA14 has uploaded a file 94101149 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:48 PM] : B2KQA14 has uploaded a file 94096300 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:48 PM] : B2KQA14 has uploaded a file 94099018 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:14:49 PM] : B2KQA14 has uploaded a file 94098462 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:07 PM] : B2KQA14 has uploaded a file 94100068 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:07 PM] : B2KQA14 has uploaded a file 94101404 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:08 PM] : B2KQA14 has uploaded a file 94096918 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:09 PM] : B2KQA14 has uploaded a file 94097159 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:09 PM] : B2KQA14 has uploaded a file 94095313 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:10 PM] : B2KQA14 has uploaded a file 94094851 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:11 PM] : B2KQA14 has uploaded a file 94095825 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:15:11 PM] : B2KQA14 has uploaded a file 94095636 to Hospital/Customer in IDSIL / PJO


[19-09-2015:8:41:39 PM] : B2KQA14 has picked a file 94112965 in IDSIL / PJO


[19-09-2015:8:53:28 PM] : B2KQA14 has picked a file 94113369 in IDSIL / PJO
